Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,
Belgium,BEL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849.916016,1879.93457,2084.719971,2814.880371,3312.741699,3405.301758,3545.242432,4064.075684,4652.545898,4637.450195,4530.058105,4929.19873,4704.675781,4953.981934,5079.825195,4442.130371,4542.661621,4783.806641,5176.85498,5033.166016,5144.981445,5743.621094,5404.624023,,,,Complete,
Benin,BEN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.42371464,16.26979828,16.9179287,21.06955719,24.52665329,25.12485313,26.60264206,26.79680061,28.12486076,29.58557701,29.29358101,31.75146866,32.95616913,33.53426743,32.41182327,27.34733391,28.24943924,28.14816666,33.21631241,28.372015,32.55360031,34.03829193,33.88216782,,,,Complete,
Burkina Faso,BFA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.34345675,7.49485111,8.48715401,11.38967419,17.02963448,17.43081665,20.56399536,26.93720627,28.79026413,30.56930923,32.74515533,33.70409393,33.66717529,42.26796341,38.24516678,32.3375206,39.52329254,42.94480133,38.91588593,41.05052185,54.28778839,57.22399521,56.75708389,,,,Complete,
Bangladesh,BGD,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27585602,8.10025787,9.05402279,9.98434258,10.78997898,11.31403732,12.05988026,14.03898716,15.5619669,17.7030201,20.62105751,22.77348328,23.43771553,26.96918297,29.91152382,33.20998764,39.30647659,42.17510986,44.78892899,47.84217072,51.00624084,58.53958511,61.09237671,,,,Complete,
Bulgaria,BGR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.51976013,119.8299789,148.1479187,195.7436981,233.113327,267.741394,294.1089172,361.2349854,455.5405884,459.3002014,484.7522888,555.8641968,558.6479492,547.454834,605.2589111,521.4190674,562.3408203,624.5549927,689.9053955,697.8961792,856.7044067,1047.457397,1011.094727,,,,Complete,
Bahrain,BHR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.502533,457.5974121,469.1547852,530.5446167,527.829895,557.9574585,578.2970581,677.1629028,734.9951172,838.5288086,866.6722412,921.7206421,1038.166138,1115.169067,1122.1604,1128.24292,1095.925415,1080.088989,1041.856079,1030.263794,1101.792114,1175.281982,1110.675903,,,,Complete,
"Bahamas, The",BHS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948.8824463,995.7184448,1021.036011,1062.437866,1078.311523,1153.215942,1257.645874,1351.082031,1429.236816,1416.924683,1444.006592,1442.247681,1518.649536,1559.349365,1619.432129,1588.582886,1729.714355,2118.648926,1941.957642,1941.607422,1871.104736,2037.53186,2341.323486,,,,Complete,
Bosnia and Herzegovina,BIH,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5786972,105.109993,118.8705826,168.4221649,222.2775879,241.6404724,281.2640381,363.8622437,459.2917481,409.2909851,406.1304627,456.9690552,444.936554,475.0740967,493.0733337,430.834137,450.4415588,471.3264771,529.8554688,546.4508667,594.8225708,697.0742798,667.296814,,,,Complete,
Belarus,BLR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.02944183,73.3659668,85.97066498,108.5101395,140.9965515,196.1380615,221.7017059,278.6342468,348.9263306,288.4477539,341.1380005,317.8249207,364.0995789,454.5195923,448.2742615,360.9193726,296.9472046,331.9408264,349.9917603,400.1162109,420.436554,484.0393066,529.0187378,,,,Complete,
Belize,BLZ,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.9914551,163.102005,172.8064575,175.1248627,176.255661,181.2345886,196.1196899,233.6493988,257.8269043,243.306488,244.0286713,252.7346191,247.8272858,262.8865051,298.2259827,287.531189,293.8230286,281.3984985,287.4936829,299.6982422,280.5263062,310.2124939,297.4163208,,,,Complete,
Bermuda,BMU,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,
Bolivia,BOL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.89028168,44.88241577,43.49106216,46.41044998,46.35359192,51.76200867,56.05701447,63.62155914,77.9777298,89.57923889,100.3935623,119.7837906,135.3206024,159.9938049,179.3274231,196.2579956,207.4511261,214.5857239,231.1880646,241.3461914,248.6951447,276.2088013,307.1380005,,,,Complete,
Brazil,BRA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.9259033,271.5612183,248.377533,253.0897064,297.6824341,387.9312134,489.5388489,607.7302246,713.671936,728.5563965,906.0098877,1043.354858,968.7277832,993.7960815,1030.66272,796.1525269,810.2003784,954.7501221,880.2843018,868.1724854,680.7684326,768.270752,848.571228,,,,Complete,
Barbados,BRB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.4787598,643.1159668,689.3077393,808.0605469,942.3770142,963.0784912,1028.392822,1043.494019,1136.536377,1163.96875,1114.372925,1163.266846,1294.786743,1246.164917,1175.443481,1154.627197,1181.142578,1182.003662,1169.355591,1168.119385,1234.300415,1391.498535,1302.059204,,,,Complete,
Brunei Darussalam,BRN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.0504761,474.1170654,482.5262451,545.555603,630.732666,657.319458,664.7449951,710.4229736,792.0136719,739.2801514,795.9776611,864.6378784,869.3655396,835.3245239,785.4121094,731.0498047,679.4692993,636.2297363,747.7253418,677.826294,657.9037476,665.5408325,665.8677368,,,,Complete,
Bhutan,BTN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5911293,35.08880234,32.9380188,37.15467834,46.06135941,46.79434204,54.21236038,64.72015381,57.59343338,59.74616623,72.38789368,77.75431824,84.0940094,86.41462708,87.19132233,96.86671448,97.42939758,103.6358337,102.0122299,115.7181168,134.1372376,103.6751938,154.4892426,,,,Complete,
Botswana,BWA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.9314423,203.0120392,206.1139221,269.5854492,297.2512207,281.38797,258.0187378,305.2204285,324.5428467,336.5314636,389.5517883,427.7070923,418.8224487,433.2915039,418.8245239,374.7905884,389.3107605,471.0505676,447.4473877,438.2854614,386.2886047,492.1426086,477.8325806,,,,Complete,
Central African Republic,CAF,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9123354,9.20995235,10.44132614,12.15000153,12.96809387,13.93517494,15.15495491,18.24629021,18.02888489,21.37773895,17.01008034,19.62990761,21.33021736,17.36794472,18.7120266,18.44194221,21.07796097,28.81619644,51.3541069,35.76098633,42.634758,46.24643707,47.91517639,,,,Complete,
Canada,CAN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988.159424,2041.875122,2134.849609,2534.864746,2896.193359,3268.468506,3755.604492,4185.217773,4451.32373,4354.062988,5062.48291,5401.615234,5520.62207,5462.156738,5212.008789,4660.79834,4649.121094,4899.253906,5062.384766,5103.841309,5649.169434,6483.376953,6255.027832,6112.019531,,,Complete,
Central Europe and the Baltics,CEB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.1456184,252.175939,298.2324769,373.1973891,446.985906,522.8223778,580.3632209,729.7216738,927.7093443,842.5888074,869.1535682,920.61084,863.5898723,910.7166948,931.6109927,815.6681331,852.4626156,938.6871484,1054.546367,1091.759647,1182.574914,1406.440984,1361.148875,,,,Complete,
Switzerland,CHE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3559.819824,3763.384521,4211.729492,5018.527344,5608.703125,5673.939941,5671.981445,6154.703125,7120.652832,7297.379883,7695.687988,9204.87793,8929.325195,9324.972656,9550.455078,9272.515625,9276.50293,9423.649414,9577.302734,9646.913086,10348.34668,11262.23047,10963.43066,,,,Complete,
Channel Islands,CHI,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,
Chile,CHL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.2503357,323.6333618,319.5322266,346.1635437,422.9648132,495.5600281,565.8493042,643.0596314,719.0750122,730.6333618,861.7243652,984.4486084,1070.512939,1171.770386,1138.661133,1122.133789,1167.893066,1353.692749,1430.702637,1348.994019,1270.978149,1576.692871,1547.289673,1714.8927,,,Complete,
China,CHN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.80797577,44.36042023,49.92394638,56.54468155,64.28150177,73.00266266,82.48256683,98.5569458,133.8399963,164.8761902,188.8715668,239.1982422,284.6976013,329.0857239,362.2869568,393.0976868,398.1748962,439.9400635,504.1098023,538.9915772,582.9509277,670.2589722,672.4515991,,,,Complete,
Cote d'Ivoire,CIV,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.58165741,33.94552612,36.06715393,43.81231308,47.04700851,46.69436264,47.08904266,56.15083694,64.67678833,71.06480408,70.04605103,67.97618103,69.86203003,67.13149261,74.3581543,58.43181992,61.85705566,63.77943039,65.87952423,68.30471039,78.97766876,92.39588928,86.15213013,,,,Complete,
Cameroon,CMR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.438097,29.82297325,31.79577446,38.56394196,42.25278473,43.10830688,44.52022934,50.30911255,54.58909225,51.14823914,50.03335571,58.33031845,56.96441269,57.22771454,71.61038208,58.38298035,57.99372482,56.7457695,58.32909393,56.79493713,66.17185211,72.56921387,71.97737885,,,,Complete,
"Congo, Dem. Rep.",COD,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.52071953,5.4341011,4.17578602,6.03257608,7.83304834,8.55065727,10.37645721,11.5629034,15.36659527,12.75762081,12.1423111,11.89942932,13.20595551,15.37901688,18.22281265,18.57252884,19.3114109,18.14648819,17.29077148,19.20812035,20.5593071,21.58848572,24.38615036,,,,Complete,
"Congo, Rep.",COG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.35089302,20.30390549,16.99031258,21.51475716,27.50056839,30.90304375,35.94208145,41.96711731,63.41820908,48.65313721,54.56225586,59.51348114,71.2766571,71.85824585,71.03118896,57.30290604,54.3000145,52.29982376,47.310215,58.42106628,80.09735107,79.3296051,50.60568619,,,,Complete,
Colombia,COL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.7145386,138.4756928,132.1836395,129.7196503,159.6110992,209.683197,240.1048889,309.6169128,379.1681213,383.9167481,452.4428101,501.8442078,547.0073242,580.9645386,588.2944946,470.099823,448.8458862,497.5401611,519.8220215,503.5348511,464.9777832,561.116272,505.5080566,534.4371338,,,Complete,
Comoros,COM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.59433365,45.34594727,51.12133408,63.91786194,70.61806488,67.79858398,65.72916412,69.87202454,73.75498962,69.4848938,69.21523285,81.19863892,77.10220337,81.81765747,84.63935852,61.16300201,63.53099442,75.01337433,74.89152527,78.23674774,89.67817688,100.0421066,122.9358444,,,,Complete,
Cabo Verde,CPV,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.54011154,63.55782318,69.12203979,84.6628952,93.43228912,96.08917999,113.1309738,127.7362671,127.7837601,130.196991,146.0806427,157.069809,174.6606293,191.1048584,193.3948212,150.2882385,157.3990631,184.7557526,204.4539795,195.7632752,235.4349823,282.9305725,285.9694519,,,,Complete,
Costa Rica,CRI,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.3095093,258.0005798,279.4170532,290.8330994,293.7754822,313.483551,364.5242615,429.4189453,518.1114502,537.0631714,663.6916504,753.4263306,788.5310059,829.9365845,836.2312012,889.3762207,884.7302856,867.767334,917.3101807,930.4351196,969.8909912,977.1483154,978.8415527,,,,Complete,
Caribbean small states,CSS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.5700067,291.1230679,325.1977223,351.5123513,393.123853,442.3467933,485.7290363,539.4376331,590.4186231,604.6432504,627.8011766,650.7630165,680.8559528,712.4995987,730.0867622,752.6892283,748.6045097,792.6380161,797.0213943,826.6310634,801.0963909,862.759954,944.5116799,,,,Complete,
Cuba,CUB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0931549,198.4987488,213.8152466,227.4920807,232.2274628,331.50354,386.8258667,569.4358521,609.2728272,675.5339966,608.5847168,695.8154297,601.7495728,712.2662964,867.6970215,991.0849609,990.9234619,987.8103027,981.902832,1023.397156,1199.353271,,,,,,Incomplete,
Curacao,CUW,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,
Cayman Islands,CYM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,
Cyprus,CYP,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.5167236,782.1616211,890.4829712,1145.058472,1286.971558,1366.01709,1474.02063,1694.271851,2155.246582,2105.477783,2045.292358,2114.668945,1899.372559,1916.322632,1873.891357,1596.2052,1649.412476,1773.411621,2020.733398,2093.061279,2483.060059,3118.242676,2864.156494,,,,Complete,
Czechia,CZE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.9210815,388.5440369,497.7420349,640.6604004,746.3289185,852.6524658,942.118042,1110.176636,1449.336792,1442.242798,1509.447266,1649.159058,1509.775269,1508.799072,1512.593262,1308.801392,1374.900513,1516.750122,1750.81189,1805.440308,2106.280273,2538.033447,2431.084961,2609.240723,,,Complete,
Germany,DEU,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2344.410889,2346.669189,2567.50293,3152.794189,3459.824951,3558.213379,3698.043701,4182.916016,4669.760254,4674.919434,4611.421875,5037.491699,4765.678711,5100.152344,5309.154785,4627.275879,4746.775391,5065.431641,5507.676758,5488.539551,5932.200195,6638.208008,6182.34375,6232.591309,,,Complete,
Djibouti,DJI,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.48954773,33.61427689,39.49966431,46.27521896,40.04951477,45.12551498,53.26344299,55.18254471,55.90976715,56.92132568,55.7044487,61.89852524,64.8536911,60.57233047,65.53726196,79.54257965,68.82740021,64.65093994,68.46080017,68.27401733,66.92816925,87.16930389,81.80969238,,,,Complete,
Dominica,DMA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.0213623,231.5233307,226.8692322,242.7886353,253.7057648,263.6609802,271.2433167,293.3090515,336.0015564,354.0488892,369.7566834,387.117096,407.4205322,382.1051941,389.0534363,396.2374268,424.1575623,415.8707275,503.3417969,465.6376648,457.0191956,521.8431397,574.4174805,,,,Complete,
Denmark,DNK,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2496.047119,2602.643066,2895.807373,3607.042969,4194.873535,4442.754883,4778.89209,5468.379395,6137.776367,6221.688965,6171.285156,6438.212402,6168.339355,6334.415527,6466.897949,5531.878906,5624.328613,5834.020508,6232.72168,6058.830078,6530.475098,7465.772949,6456.083984,6432.371582,,,Complete,
